frame.len,frame.protocols,ip.hdr_len,ip.len,ip.flags.rb,ip.flags.df,p.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.ack,tcp.flags.res,tcp.flags.ns,tcp.flags.cwr,tcp.flags.ecn,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,tcp.window_size,tcp.time_delta,
206,eth:ethertype:ip:tcp:ssh,20,192,0,1,0,0,128,6,192.168.1.101,192.168.5.122,4175,22,152,1,0,0,0,0,0,1,1,0,0,0,16697,0,normal
60,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,192.168.5.122,192.168.1.101,22,4175,0,153,0,0,0,0,0,1,0,0,0,0,7504,0.000537,normal
60,eth:ethertype:ip:tcp,20,40,0,1,0,0,63,6,192.168.5.122,192.168.1.101,22,4175,0,153,0,0,0,0,0,1,0,0,0,0,7504,0.000155,normal
774,eth:ethertype:ip:tcp:ssh,20,760,0,1,0,0,64,6,192.168.5.122,192.168.1.101,22,4175,720,153,0,0,0,0,0,1,1,0,0,0,7504,0.004483,normal
774,eth:ethertype:ip:tcp,20,760,0,1,0,0,63,6,192.168.5.122,192.168.1.101,22,4175,720,153,0,0,0,0,0,1,1,0,0,0,7504,0.001321,normal
1434,eth:ethertype:ip:tcp,20,1420,0,1,0,0,241,6,12.180.55.140,192.168.3.115,80,3816,1380,1,0,0,0,0,0,1,0,0,0,0,5189,0,normal
66,eth:ethertype:ip:tcp,20,52,0,1,0,0,128,6,192.168.4.121,192.168.5.122,51061,22,0,0,0,0,0,0,0,0,0,0,1,0,8192,0,normal
66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,192.168.5.122,192.168.4.121,22,51061,0,1,0,0,0,0,0,1,0,0,1,0,5840,0.000241,normal
66,eth:ethertype:ip:tcp,20,52,0,1,0,0,63,6,192.168.5.122,192.168.4.121,22,51061,0,1,0,0,0,0,0,1,0,0,1,0,5840,0.000132,normal
60,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.4.121,192.168.5.122,51061,22,0,1,0,0,0,0,0,1,0,0,0,0,17520,0.000245,normal
60,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.3.115,12.180.55.140,3816,80,0,1381,0,0,0,0,0,1,0,0,0,0,16560,0.00145,normal
93,eth:ethertype:ip:tcp:ssh,20,79,0,1,0,0,64,6,192.168.5.122,192.168.4.121,22,51061,39,1,0,0,0,0,0,1,1,0,0,0,5888,0.003601,normal
93,eth:ethertype:ip:tcp,20,79,0,1,0,0,63,6,192.168.5.122,192.168.4.121,22,51061,39,1,0,0,0,0,0,1,1,0,0,0,5888,0.00021,normal
92,eth:ethertype:ip:tcp:ssh,20,78,0,1,0,0,128,6,192.168.4.121,192.168.5.122,51061,22,38,40,0,0,0,0,0,1,1,0,0,0,17480,0.000426,normal
60,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,192.168.5.122,192.168.4.121,22,51061,0,39,0,0,0,0,0,1,0,0,0,0,5888,0.00035,normal
60,eth:ethertype:ip:tcp,20,40,0,1,0,0,63,6,192.168.5.122,192.168.4.121,22,51061,0,39,0,0,0,0,0,1,0,0,0,0,5888,0.000169,normal
838,eth:ethertype:ip:tcp:ssh,20,824,0,1,0,0,64,6,192.168.5.122,192.168.4.121,22,51061,784,39,0,0,0,0,0,1,1,0,0,0,5888,0.000933,normal
838,eth:ethertype:ip:tcp,20,824,0,1,0,0,63,6,192.168.5.122,192.168.4.121,22,51061,784,39,0,0,0,0,0,1,1,0,0,0,5888,0.001407,normal
294,eth:ethertype:ip:tcp:ssh,20,280,0,1,0,0,128,6,192.168.4.121,192.168.5.122,51061,22,240,824,0,0,0,0,0,1,1,0,0,0,16696,0.001074,normal
70,eth:ethertype:ip:tcp:ssh,20,56,0,1,0,0,128,6,192.168.1.101,192.168.5.122,4175,22,16,721,0,0,0,0,0,1,1,0,0,0,17520,0.035889,normal
60,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,192.168.5.122,192.168.4.121,22,51061,0,279,0,0,0,0,0,1,0,0,0,0,6912,0.036216,normal
60,eth:ethertype:ip:tcp,20,40,0,1,0,0,63,6,192.168.5.122,192.168.4.121,22,51061,0,279,0,0,0,0,0,1,0,0,0,0,6912,0.00016,normal
60,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,192.168.5.122,192.168.1.101,22,4175,0,169,0,0,0,0,0,1,0,0,0,0,7504,0.035411,normal
60,eth:ethertype:ip:tcp,20,40,0,1,0,0,63,6,192.168.5.122,192.168.1.101,22,4175,0,169,0,0,0,0,0,1,0,0,0,0,7504,0.000161,normal
102,eth:ethertype:ip:tcp:ssh,20,88,0,1,0,0,128,6,192.168.1.101,192.168.5.122,4175,22,48,721,0,0,0,0,0,1,1,0,0,0,17520,0.000253,normal
60,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,192.168.5.122,192.168.1.101,22,4175,0,217,0,0,0,0,0,1,0,0,0,0,7504,0.000341,normal
102,eth:ethertype:ip:tcp:ssh,20,88,0,1,0,0,64,6,192.168.5.122,192.168.1.101,22,4175,48,217,0,0,0,0,0,1,1,0,0,0,7504,0.000084,normal
60,eth:ethertype:ip:tcp,20,40,0,1,0,0,63,6,192.168.5.122,192.168.1.101,22,4175,0,217,0,0,0,0,0,1,0,0,0,0,7504,0.000022,normal
